system:index,ST_B10_max,ST_B10_mean,ST_B10_min,date,.geo
2021_01_01,299.78000000000003,296.3585260672512,291.86,01-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_02,-9999,-9999,-9999,02-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_03,303.12,300.0368724761513,292.46,03-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_04,-9999,-9999,-9999,04-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_05,301.3,298.94620169082117,296.98,05-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_06,-9999,-9999,-9999,06-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_07,-9999,-9999,-9999,07-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_08,299.58,298.23126554314206,297.3,08-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_09,-9999,-9999,-9999,09-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_10,-9999,-9999,-9999,10-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_11,-9999,-9999,-9999,11-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_12,-9999,-9999,-9999,12-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_13,-9999,-9999,-9999,13-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_14,299.42,297.98545319465086,297.02,14-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_15,302.42,299.0085544837718,286.22,15-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_16,302.1,293.6639409803416,278.92,16-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_17,305.44,303.26938628158854,302.0,17-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_18,304.38,302.493503649635,301.06,18-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_19,305.08,301.4960655737707,296.56,19-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_20,302.22,297.2107169372798,291.96,20-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_21,308.40000000000003,305.75519713261633,303.02,21-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
