system:index,ST_B10_max,ST_B10_mean,ST_B10_min,date,.geo
2019_03_27,311.2,309.1437299,306.96,27-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_28,317.7,313.7013571,310.4,28-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_29,-9999,-9999,-9999,29-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_30,317.82,314.0784004,311,30-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_31,312.1,308.911056,305.28,31-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_01,316.42,313.7284056,310.4,01-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_02,314.22,309.8580259,307.54,02-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_03,313.98,311.4045324,309.36,03-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_04,316.64,313.4960142,310.68,04-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_05,310.88,308.2458608,305.94,05-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_06,319.78,314.3363879,311,06-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_07,-9999,-9999,-9999,07-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_08,317.88,315.2529123,312.54,08-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_09,310.66,308.2404196,305.9,09-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_10,314.48,311.9755394,309.12,10-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_11,315.78,310.339899,303.22,11-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_12,-9999,-9999,-9999,12-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_13,319.72,315.0152628,308.5,13-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_14,-9999,-9999,-9999,14-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_15,319.62,316.3660215,312.94,15-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_16,314.04,310.5076435,308.84,16-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_17,312.76,308.2086453,302.74,17-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_18,311.08,308.7386307,306.42,18-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_19,309.16,307.719507,305.52,19-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_20,313.44,308.7632594,301.52,20-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_21,-9999,-9999,-9999,21-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_22,315.12,311.2736306,302.06,22-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_23,309.22,308.1263725,307.34,23-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_24,315.9,313.4496536,310.24,24-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_25,311.44,306.6827548,303.88,25-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_26,311.28,306.9349956,301.78,26-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_27,311.02,306.8461373,303.46,27-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_28,-9999,-9999,-9999,28-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_29,311.68,306.1193861,301.08,29-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_30,-9999,-9999,-9999,30-04-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_01,-9999,-9999,-9999,01-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_02,-9999,-9999,-9999,02-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_03,311.5,306.166898,296.6,03-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_04,-9999,-9999,-9999,04-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_05,311.34,309.3907566,306.74,05-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_06,314.78,311.3668188,299.94,06-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_07,-9999,-9999,-9999,07-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_08,305.46,302.505849,297.26,08-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_09,-9999,-9999,-9999,09-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_10,313.18,310.3039617,304.54,10-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_11,309.52,306.7307539,303.82,11-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_12,304.72,302.1218668,301.16,12-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_13,311.6,307.8748783,303.64,13-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_14,304.5,304.2464631,303.84,14-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_15,311.92,308.7526391,303.6,15-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_16,-9999,-9999,-9999,16-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_17,313.24,309.9153264,307.18,17-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_18,307.38,303.7485982,301.2,18-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_19,313.34,310.2683525,307.28,19-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_20,311.64,308.1677449,305.26,20-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_21,309.12,307.5379654,305.36,21-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_22,314.86,310.8230315,304.86,22-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_23,303.34,301.0254688,297.22,23-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_24,310.04,302.9239459,297.36,24-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_25,-9999,-9999,-9999,25-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_26,304.86,303.5517043,301.78,26-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_27,305.88,302.5339472,296.84,27-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_28,306.5,304.5912918,301.68,28-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_29,310.34,307.5780505,303.4,29-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_30,-9999,-9999,-9999,30-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_31,305.44,304.3293333,302.74,31-05-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_01,-9999,-9999,-9999,01-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_02,307.18,304.2853269,301,02-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_03,-9999,-9999,-9999,03-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_04,-9999,-9999,-9999,04-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_05,-9999,-9999,-9999,05-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_06,307.24,302.1626981,293.26,06-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_07,-9999,-9999,-9999,07-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_08,-9999,-9999,-9999,08-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_09,312.72,309.9565069,301.38,09-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_10,-9999,-9999,-9999,10-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_11,-9999,-9999,-9999,11-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_12,-9999,-9999,-9999,12-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_13,-9999,-9999,-9999,13-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_14,305.62,303.4339417,300.28,14-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_15,304,302.4736188,300.9,15-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_16,304.86,301.0793388,296.46,16-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_17,-9999,-9999,-9999,17-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_18,-9999,-9999,-9999,18-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_19,-9999,-9999,-9999,19-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_20,309.14,305.7681108,302.68,20-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_21,-9999,-9999,-9999,21-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_22,-9999,-9999,-9999,22-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_23,-9999,-9999,-9999,23-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_24,-9999,-9999,-9999,24-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_25,-9999,-9999,-9999,25-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_26,-9999,-9999,-9999,26-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_27,309.3,304.3570945,300.4,27-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_28,-9999,-9999,-9999,28-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_29,-9999,-9999,-9999,29-06-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
