system:index,ST_B10_max,ST_B10_mean,ST_B10_min,date,.geo
2019_01_01,304.08,302.3111091,301.18,01-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_02,305.16,302.3847347,300.58,02-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_03,304.98,302.1660294,300.96,03-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_04,305.32,303.0023368,300.48,04-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_05,304.66,301.9265634,300.38,05-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_06,302.92,300.929527,299.64,06-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_07,306.62,303.1997826,300.58,07-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_08,-9999,-9999,-9999,08-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_09,307.44,304.5443486,301.98,09-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_10,304.62,302.2525532,301.12,10-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_11,306.02,303.9048399,301.22,11-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_12,300.82,296.413359,293.02,12-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_13,305.36,303.0563301,301.16,13-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_14,306.16,302.8056513,300.52,14-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_15,-9999,-9999,-9999,15-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_16,306.7,303.8977317,301.88,16-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_17,304.76,303.4345235,302.22,17-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_18,306.18,303.5441144,301.36,18-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_19,306.82,304.0755473,302.82,19-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_20,-9999,-9999,-9999,20-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_21,301.54,295.9517057,292.14,21-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_22,302.88,301.4539217,300.4,22-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_23,307.38,304.3753069,301.58,23-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_24,-9999,-9999,-9999,24-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_25,304.52,302.4214383,300.38,25-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_26,300.14,298.2337174,294.62,26-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_27,303.04,297.8896428,292.2,27-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_28,304.3,297.8547157,291.6,28-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_29,300.58,298.0171186,295.02,29-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_30,306.78,303.9470709,301.58,30-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_31,302.52,300.72675,299.12,31-01-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_01,306.96,304.146222,302.04,01-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_02,305.58,304.1597215,302.46,02-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_03,307.24,305.4346377,303.04,03-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_04,305.96,303.5951601,302.44,04-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_05,305.4,304.6575691,303.86,05-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_06,308.6,305.4543555,303.88,06-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_07,305.34,304.0915889,303.14,07-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_08,309.64,306.8396441,304.02,08-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_09,-9999,-9999,-9999,09-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_10,305.66,300.1657838,295.36,10-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_11,304.98,302.0218455,299.62,11-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_12,308.62,305.5943393,303.54,12-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_13,308.66,305.0187543,303.46,13-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_14,307.58,305.3028669,302.06,14-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_15,310.66,306.9185294,305,15-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_16,303.78,301.9535834,297.1,16-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_17,312.3,308.9745534,306.42,17-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_18,310.12,308.2312325,306.96,18-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_19,310.04,305.9071843,298.28,19-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_20,310.08,306.9420726,304.78,20-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_21,311.34,308.8865965,305.7,21-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_22,311.72,308.3499335,306.52,22-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_23,311.08,309.0487075,306.02,23-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_24,314.94,311.2771012,308,24-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_25,-9999,-9999,-9999,25-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_26,314.24,310.9108189,307.98,26-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_27,307.64,303.316346,299.58,27-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_28,312.74,309.8886525,307.04,28-02-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_01,309.96,307.0244961,300.74,01-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_02,307.64,305.3707586,302.76,02-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_03,311.98,306.3894484,298.62,03-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_04,308.48,303.5631529,300.28,04-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_05,309.92,305.0620368,299.68,05-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_06,311.92,310.409306,309.96,06-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_07,318.46,314.4951152,310.64,07-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_08,311.96,309.3588396,308.12,08-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_09,308.58,304.6685657,297.82,09-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_10,312.8,309.8494647,307.94,10-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_11,308.84,307.0122486,304.6,11-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_12,313.72,310.9261484,308.18,12-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_13,-9999,-9999,-9999,13-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_14,315.84,312.8785467,310.04,14-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_15,312.64,309.4333467,307.72,15-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_16,315.54,312.7083116,309.84,16-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_17,315.24,311.0420423,308.8,17-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_18,312.92,310.4886833,307.8,18-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_19,314,310.623,307.96,19-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_20,307.94,306.1926213,303.46,20-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_21,317.6,313.1365237,309.88,21-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_22,311.82,310.9585199,310.32,22-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_23,317.18,313.7862595,311.02,23-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_24,313.12,309.0682167,304.76,24-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_25,314.5,312.1025087,309.56,25-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_26,315.38,312.2708711,310.28,26-03-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
