system:index,date,tropospheric_NO2_column_number_density,.geo
20200102T071946_20200104T001647,2020-01-02,3.423402477467452E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200103T070046_20200105T001636,2020-01-03,3.89295574377068E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200104T064146_20200105T233722,2020-01-04,4.7490907224713845E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200107T072617_20200109T004150,2020-01-07,3.148547730182499E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200108T070717_20200110T000759,2020-01-08,1.2156288853594225E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200109T064818_20200110T234536,2020-01-09,1.1008830419004481E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200110T062919_20200111T232318,2020-01-10,6.584819517233563E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200111T075150_20200114T194243,2020-01-11,6.23055816741955E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200112T073251_20200115T104151,2020-01-12,4.18759438252013E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200113T071352_20200116T233335,2020-01-13,9.598335899391893E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200114T065453_20200117T165022,2020-01-14,8.850365072938992E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200115T063555_20200118T232421,2020-01-15,4.310288488856122E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200116T075826_20200120T033739,2020-01-16,8.347403186268161E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200117T073928_20200121T000551,2020-01-17,7.795011455197322E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200118T072030_20200122T004735,2020-01-18,4.738472297306249E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200119T070131_20200124T142855,2020-01-19,6.853378919984849E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200120T064233_20200124T144927,2020-01-20,7.845059407242025E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200121T062335_20200125T095349,2020-01-21,5.1582195583286276E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200122T074608_20200125T224156,2020-01-22,5.70885985148178E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
