system:index,date,tropospheric_NO2_column_number_density,.geo
20200123T072710_20200126T130353,2020-01-23,5.9982849844204364E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200124T070812_20200127T122702,2020-01-24,8.011663819104003E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200125T064915_20200128T121939,2020-01-25,8.949132015274282E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200126T063017_20200129T112254,2020-01-26,5.707965265048402E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200127T075250_20200130T124830,2020-01-27,8.933852289774419E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200128T073353_20200131T122132,2020-01-28,6.692422968872903E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200129T071456_20200201T124514,2020-01-29,9.999535700785891E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200130T065559_20200203T101742,2020-01-30,1.0059620774888465E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200131T063702_20200203T151714,2020-01-31,7.943950964801808E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200201T075935_20200204T124508,2020-02-01,5.2661204564046145E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200202T074038_20200205T122605,2020-02-02,3.599926091608015E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200203T072142_20200206T121148,2020-02-03,7.301351855508678E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200204T070245_20200207T120613,2020-02-04,7.460828953575682E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200205T064349_20200208T113333,2020-02-05,6.569655070364984E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200208T072830_20200211T121436,2020-02-08,6.414277165561588E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200209T070934_20200212T115744,2020-02-09,4.3247579806536456E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200210T065037_20200213T113542,2020-02-10,5.798641677993067E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200211T063141_20200214T112414,2020-02-11,4.833854663442487E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200212T075416_20200215T122531,2020-02-12,3.868597948260006E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200213T073520_20200216T121110,2020-02-13,6.531931458587737E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200214T071624_20200217T121124,2020-02-14,1.0858396565944958E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200215T065728_20200218T114423,2020-02-15,1.0589689198756179E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200216T063832_20200219T114016,2020-02-16,6.513980442779724E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200217T080107_20200220T123515,2020-02-17,7.472947124329659E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200218T074211_20200221T122238,2020-02-18,6.824049853002489E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200219T072316_20200222T120351,2020-02-19,8.586255210717649E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200220T070420_20200223T120551,2020-02-20,9.49369790822336E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200221T064525_20200224T113254,2020-02-21,7.684212965775715E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200222T062629_20200225T111825,2020-02-22,4.809645682160064E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200223T074904_20200226T123543,2020-02-23,5.012895077077536E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200224T073009_20200227T122056,2020-02-24,7.482664059791856E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200225T071114_20200228T121000,2020-02-25,1.2570185898255298E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200226T065218_20200229T114021,2020-02-26,5.183200937538351E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200227T063323_20200301T112138,2020-02-27,4.271440964119595E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200229T073703_20200303T121816,2020-02-29,8.438269785469775E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200301T071808_20200304T121216,2020-03-01,6.258632867627336E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200303T064018_20200306T112644,2020-03-03,7.388709758125924E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200304T080254_20200307T123844,2020-03-04,5.195721784324376E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200305T074359_20200308T120823,2020-03-05,5.706282916755142E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200306T072504_20200309T115321,2020-03-06,4.555753940509202E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200307T070609_20200310T113734,2020-03-07,3.447417630469523E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200308T064714_20200312T103118,2020-03-08,3.35871718916665E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200310T075054_20200313T124151,2020-03-10,7.176150652406287E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200311T073200_20200314T122407,2020-03-11,7.534174510221416E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200312T071305_20200315T115535,2020-03-12,8.91527893000407E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200313T065410_20200316T113720,2020-03-13,7.413721889047589E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200314T063515_20200317T112015,2020-03-14,6.289672248669213E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200315T075751_20200318T124509,2020-03-15,5.483185185164149E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200316T073856_20200319T121908,2020-03-16,7.557028125172629E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200317T072001_20200319T155832,2020-03-17,5.857056996423287E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200318T070106_20200320T101131,2020-03-18,6.727263898372265E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200319T064212_20200321T114326,2020-03-19,7.548809208637416E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200320T080447_20200322T004018,2020-03-20,4.4154068746138364E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200321T074552_20200323T001702,2020-03-21,6.959998975264597E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200322T072658_20200324T000349,2020-03-22,3.533834641916711E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200323T070803_20200325T000554,2020-03-23,5.207759862479283E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200324T064908_20200325T232439,2020-03-24,3.9716272240667554E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200325T063013_20200326T230040,2020-03-25,3.6346594520862235E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200326T075249_20200328T103719,2020-03-26,2.7144971380958553E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200327T073354_20200329T003602,2020-03-27,2.5318367254338232E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200328T071459_20200330T103210,2020-03-28,3.1638169407794356E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200329T065604_20200330T232632,2020-03-29,3.0788452684462375E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200330T063709_20200331T230129,2020-03-30,2.80540078203676E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200331T075944_20200402T003242,2020-03-31,3.155999117155002E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200401T074049_20200403T002837,2020-04-01,3.2526432311614865E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200402T072154_20200404T002341,2020-04-02,3.522789932270415E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200403T070259_20200414T213449,2020-04-03,3.5687338849020354E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200404T064404_20200405T231609,2020-04-04,3.549456277395173E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200405T080640_20200407T005806,2020-04-05,2.9546450443919108E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200406T074744_20200408T002417,2020-04-06,3.66952909322331E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200407T072849_20200409T002414,2020-04-07,3.294515805030397E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200408T070954_20200410T001222,2020-04-08,4.7225420207349916E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200409T065059_20200410T233839,2020-04-09,3.418269860173396E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200410T063203_20200411T232427,2020-04-10,2.5142950557148233E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200411T075438_20200413T004853,2020-04-11,2.90226289219651E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200412T073543_20200414T003916,2020-04-12,2.9882612394781576E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200413T071647_20200415T075336,2020-04-13,4.103364136604991E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200414T065752_20200415T233752,2020-04-14,3.504462577194976E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200415T063856_20200416T231404,2020-04-15,3.178366922780116E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200416T080131_20200418T002117,2020-04-16,3.4052567640688406E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200417T074235_20200419T001423,2020-04-17,3.755037495816329E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200418T072339_20200420T001131,2020-04-18,3.4581813801918804E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200419T070444_20200420T233353,2020-04-19,2.7642463470329854E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200420T064548_20200421T232313,2020-04-20,2.8443534121870422E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200421T080822_20200423T005149,2020-04-21,3.465183100370309E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200422T074926_20200424T003806,2020-04-22,3.234778530199859E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200423T073030_20200425T001002,2020-04-23,3.2081198912353914E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200424T071134_20200426T091923,2020-04-24,4.227049658179343E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200425T065237_20200426T234235,2020-04-25,2.925969156082022E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200428T073718_20200430T000425,2020-04-28,3.797195969764884E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200429T071822_20200430T235036,2020-04-29,7.075346375518472E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200430T065925_20200501T232101,2020-04-30,4.660773509107461E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200501T064028_20200502T225945,2020-05-01,3.96989118563369E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200502T080302_20200504T005011,2020-05-02,2.7906267940877175E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200503T074405_20200505T004932,2020-05-03,3.975366626396302E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200504T072508_20200506T003347,2020-05-04,6.169489450953777E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200505T070610_20200507T000819,2020-05-05,5.481790400768915E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200506T064713_20200507T234832,2020-05-06,5.012041229124447E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200507T080946_20200509T005053,2020-05-07,3.281557930326959E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200508T075049_20200511T115906,2020-05-08,4.2970322695875694E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200509T073151_20200511T121953,2020-05-09,3.6955514251175336E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200510T071254_20200512T113619,2020-05-10,3.854829674313515E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200511T065356_20200513T040525,2020-05-11,4.974396381797601E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200512T063458_20200513T224805,2020-05-12,2.15699265743756E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200513T075730_20200515T001357,2020-05-13,4.4673616762413837E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200514T073832_20200516T001947,2020-05-14,3.272244979981561E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200515T071934_20200517T000536,2020-05-15,3.817036190174146E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200517T064137_20200518T233946,2020-05-17,3.498897163711556E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200519T074510_20200521T001642,2020-05-19,3.137134480775202E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200520T072612_20200521T235817,2020-05-20,4.164579878822128E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200521T070713_20200522T234243,2020-05-21,4.622006131292712E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200522T064814_20200523T231603,2020-05-22,4.256962785017596E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200523T081045_20200525T005728,2020-05-23,1.8569073339167494E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200524T075146_20200526T003915,2020-05-24,2.1141895455028547E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200525T073247_20200527T002520,2020-05-25,4.319795466251865E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200526T071347_20200527T235243,2020-05-26,3.643603713632892E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200527T065448_20200528T232906,2020-05-27,2.755678019898146E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200528T063548_20200529T232054,2020-05-28,3.192083966567902E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200529T075819_20200531T005615,2020-05-29,4.46919355454469E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200530T073919_20200601T002157,2020-05-30,6.33899661739141E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200531T072019_20200602T001738,2020-05-31,2.836279633758807E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200601T070119_20200602T233829,2020-06-01,4.509182836413726E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200602T064218_20200603T233141,2020-06-02,2.67111774362758E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200603T080448_20200605T005227,2020-06-03,1.162741384402021E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200604T074548_20200606T003344,2020-06-04,2.1453543202605956E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200605T072647_20200607T001650,2020-06-05,2.2993833158543826E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200606T070746_20200607T234435,2020-06-06,2.8526800640335915E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200608T081115_20200610T011603,2020-06-08,2.3619643742996062E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200614T075837_20200616T003911,2020-06-14,2.110866802708045E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200619T080456_20200621T010032,2020-06-19,2.5762609936039028E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200623T064846_20200624T234003,2020-06-23,2.8163634044568484E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200624T081113_20200626T004752,2020-06-24,3.086977913390291E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200625T075211_20200627T004648,2020-06-25,2.878063652216698E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200626T073308_20200628T003337,2020-06-26,2.3751027421599324E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200627T071404_20200629T000536,2020-06-27,3.0391693786667684E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200628T065501_20200629T234633,2020-06-28,1.3915035899573615E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
