time,latitude,longitude,precip
2020-01-01,12.974998,77.57501,0.0
2020-01-02,12.974998,77.57501,0.0
2020-01-03,12.974998,77.57501,0.0
2020-01-04,12.974998,77.57501,0.0
2020-01-05,12.974998,77.57501,0.0
2020-01-06,12.974998,77.57501,0.0
2020-01-07,12.974998,77.57501,0.0
2020-01-08,12.974998,77.57501,0.0
2020-01-09,12.974998,77.57501,0.0
2020-01-10,12.974998,77.57501,0.0
2020-01-11,12.974998,77.57501,0.0
2020-01-12,12.974998,77.57501,0.0
2020-01-13,12.974998,77.57501,0.0
2020-01-14,12.974998,77.57501,0.0
2020-01-15,12.974998,77.57501,0.0
2020-01-16,12.974998,77.57501,0.0
2020-01-17,12.974998,77.57501,0.0
2020-01-18,12.974998,77.57501,0.0
2020-01-19,12.974998,77.57501,0.0
2020-01-20,12.974998,77.57501,0.0
2020-01-21,12.974998,77.57501,0.0
2020-01-22,12.974998,77.57501,0.0
2020-01-23,12.974998,77.57501,0.0
2020-01-24,12.974998,77.57501,0.0
2020-01-25,12.974998,77.57501,0.0
2020-01-26,12.974998,77.57501,0.0
2020-01-27,12.974998,77.57501,0.0
2020-01-28,12.974998,77.57501,0.0
2020-01-29,12.974998,77.57501,0.0
2020-01-30,12.974998,77.57501,0.0
2020-01-31,12.974998,77.57501,0.0
2020-02-01,12.974998,77.57501,0.0
2020-02-02,12.974998,77.57501,0.0
2020-02-03,12.974998,77.57501,0.0
2020-02-04,12.974998,77.57501,0.0
2020-02-05,12.974998,77.57501,0.0
2020-02-06,12.974998,77.57501,0.0
2020-02-07,12.974998,77.57501,0.0
2020-02-08,12.974998,77.57501,0.0
2020-02-09,12.974998,77.57501,0.0
2020-02-10,12.974998,77.57501,0.0
2020-02-11,12.974998,77.57501,0.0
2020-02-12,12.974998,77.57501,0.0
2020-02-13,12.974998,77.57501,0.0
2020-02-14,12.974998,77.57501,0.0
2020-02-15,12.974998,77.57501,0.0
2020-02-16,12.974998,77.57501,0.0
2020-02-17,12.974998,77.57501,0.0
2020-02-18,12.974998,77.57501,0.0
2020-02-19,12.974998,77.57501,0.0
2020-02-20,12.974998,77.57501,0.0
2020-02-21,12.974998,77.57501,0.0
2020-02-22,12.974998,77.57501,0.0
2020-02-23,12.974998,77.57501,0.0
2020-02-24,12.974998,77.57501,3.3059843
2020-02-25,12.974998,77.57501,0.0
2020-02-26,12.974998,77.57501,0.0
2020-02-27,12.974998,77.57501,0.0
2020-02-28,12.974998,77.57501,0.0
2020-02-29,12.974998,77.57501,0.0
2020-03-01,12.974998,77.57501,0.0
2020-03-02,12.974998,77.57501,0.0
2020-03-03,12.974998,77.57501,0.0
2020-03-04,12.974998,77.57501,0.0
2020-03-05,12.974998,77.57501,0.0
2020-03-06,12.974998,77.57501,0.0
2020-03-07,12.974998,77.57501,0.0
2020-03-08,12.974998,77.57501,0.0
2020-03-09,12.974998,77.57501,0.0
2020-03-10,12.974998,77.57501,0.0
2020-03-11,12.974998,77.57501,2.730173
2020-03-12,12.974998,77.57501,0.0
2020-03-13,12.974998,77.57501,0.0
2020-03-14,12.974998,77.57501,0.0
2020-03-15,12.974998,77.57501,0.0
2020-03-16,12.974998,77.57501,0.0
2020-03-17,12.974998,77.57501,0.0
2020-03-18,12.974998,77.57501,0.0
2020-03-19,12.974998,77.57501,0.0
2020-03-20,12.974998,77.57501,0.0
2020-03-21,12.974998,77.57501,4.8326344
2020-03-22,12.974998,77.57501,0.0
2020-03-23,12.974998,77.57501,0.0
2020-03-24,12.974998,77.57501,0.0
2020-03-25,12.974998,77.57501,0.0
2020-03-26,12.974998,77.57501,0.0
2020-03-27,12.974998,77.57501,0.0
2020-03-28,12.974998,77.57501,0.0
2020-03-29,12.974998,77.57501,0.0
2020-03-30,12.974998,77.57501,0.0
2020-03-31,12.974998,77.57501,0.0
2020-04-01,12.974998,77.57501,0.0
2020-04-02,12.974998,77.57501,0.0
2020-04-03,12.974998,77.57501,0.0
2020-04-04,12.974998,77.57501,0.0
2020-04-05,12.974998,77.57501,2.4237688
2020-04-06,12.974998,77.57501,11.297709
2020-04-07,12.974998,77.57501,11.297709
2020-04-08,12.974998,77.57501,0.0
2020-04-09,12.974998,77.57501,0.0
2020-04-10,12.974998,77.57501,0.0
2020-04-11,12.974998,77.57501,0.0
2020-04-12,12.974998,77.57501,0.0
2020-04-13,12.974998,77.57501,0.0
2020-04-14,12.974998,77.57501,0.0
2020-04-15,12.974998,77.57501,0.0
2020-04-16,12.974998,77.57501,0.0
2020-04-17,12.974998,77.57501,0.0
2020-04-18,12.974998,77.57501,2.795599
2020-04-19,12.974998,77.57501,0.0
2020-04-20,12.974998,77.57501,0.0
2020-04-21,12.974998,77.57501,0.0
2020-04-22,12.974998,77.57501,0.0
2020-04-23,12.974998,77.57501,3.361568
2020-04-24,12.974998,77.57501,3.361568
2020-04-25,12.974998,77.57501,10.084703
2020-04-26,12.974998,77.57501,0.0
2020-04-27,12.974998,77.57501,0.0
2020-04-28,12.974998,77.57501,0.0
2020-04-29,12.974998,77.57501,19.561047
2020-04-30,12.974998,77.57501,0.0
2020-05-01,12.974998,77.57501,0.0
2020-05-02,12.974998,77.57501,1.7256924
2020-05-03,12.974998,77.57501,1.7256924
2020-05-04,12.974998,77.57501,0.0
2020-05-05,12.974998,77.57501,0.0
2020-05-06,12.974998,77.57501,0.0
2020-05-07,12.974998,77.57501,4.0232754
2020-05-08,12.974998,77.57501,0.0
2020-05-09,12.974998,77.57501,0.0
2020-05-10,12.974998,77.57501,0.0
2020-05-11,12.974998,77.57501,0.0
2020-05-12,12.974998,77.57501,0.0
2020-05-13,12.974998,77.57501,0.0
2020-05-14,12.974998,77.57501,0.0
2020-05-15,12.974998,77.57501,0.0
2020-05-16,12.974998,77.57501,6.6529326
2020-05-17,12.974998,77.57501,6.6529326
2020-05-18,12.974998,77.57501,3.3264663
2020-05-19,12.974998,77.57501,0.0
2020-05-20,12.974998,77.57501,0.0
2020-05-21,12.974998,77.57501,0.0
2020-05-22,12.974998,77.57501,0.13011098
2020-05-23,12.974998,77.57501,7.433528
2020-05-24,12.974998,77.57501,5.1929994
2020-05-25,12.974998,77.57501,2.4176672
2020-05-26,12.974998,77.57501,9.000803
2020-05-27,12.974998,77.57501,9.000803
2020-05-28,12.974998,77.57501,13.5012045
2020-05-29,12.974998,77.57501,13.5012045
2020-05-30,12.974998,77.57501,4.5004015
2020-05-31,12.974998,77.57501,0.0
2020-06-01,12.974998,77.57501,2.733547
2020-06-02,12.974998,77.57501,1.9781545
2020-06-03,12.974998,77.57501,0.76531965
2020-06-04,12.974998,77.57501,1.8093724
2020-06-05,12.974998,77.57501,4.156809
2020-06-06,12.974998,77.57501,12.533335
2020-06-07,12.974998,77.57501,0.0
2020-06-08,12.974998,77.57501,0.0
2020-06-09,12.974998,77.57501,0.0
2020-06-10,12.974998,77.57501,0.0
2020-06-11,12.974998,77.57501,3.2562268
2020-06-12,12.974998,77.57501,0.82896805
2020-06-13,12.974998,77.57501,0.19588965
2020-06-14,12.974998,77.57501,0.77112526
2020-06-15,12.974998,77.57501,0.75137883
2020-06-16,12.974998,77.57501,3.0737293
2020-06-17,12.974998,77.57501,9.221187
2020-06-18,12.974998,77.57501,3.0737293
